"Id","Season","Week","Season Type","Home Division","Away Division"
"401282714","2021","1","regular","fbs","fbs"
"401286187","2021","1","regular","fbs","fbs"
"401309833","2021","1","regular","fbs","fbs"
"401282049","2021","1","regular","fbs","fbs"
"401310693","2021","1","regular","fbs","fcs"
"401282050","2021","1","regular","fcs","fbs"
"401309540","2021","1","regular","fbs","fcs"
"401300995","2021","1","regular","fbs","fbs"
"401309542","2021","1","regular","fbs","fcs"
"401328545","2021","1","regular","fbs","fcs"
"401300994","2021","1","regular","fbs","fcs"
"401309834","2021","1","regular","fbs","fcs"
"401300993","2021","1","regular","fbs","fbs"
"401282607","2021","1","regular","fbs","fbs"
"401281952","2021","1","regular","fbs","fbs"
"401310696","2021","1","regular","fbs","fcs"
"401282789","2021","1","regular","fbs","fbs"
"401282180","2021","1","regular","fbs","fcs"
"401282051","2021","1","regular","fbs","fcs"
"401310694","2021","1","regular","fbs","fcs"
"401309835","2021","1","regular","fbs","fcs"
"401309937","2021","1","regular","fbs","fbs"
"401282052","2021","1","regular","fbs","fbs"
"401282608","2021","1","regular","fbs","fbs"
"401309541","2021","1","regular","fbs","fcs"
"401287888","2021","1","regular","fbs","fcs"
"401282782","2021","1","regular","fbs","fbs"
"401309836","2021","1","regular","fbs","fcs"
"401310695","2021","1","regular","fbs","fcs"
"401282772","2021","1","regular","fbs","fbs"
"401327913","2021","1","regular","fbs","fcs"
"401281947","2021","1","regular","fbs","fbs"
"401309601","2021","1","regular","fbs","fbs"
"401287889","2021","1","regular","fbs","fbs"
"401286188","2021","1","regular","fbs","fcs"
"401282815","2021","1","regular","fbs","fbs"
"401287894","2021","1","regular","fbs","fbs"
"401282822","2021","1","regular","fbs","fbs"
"401282609","2021","1","regular","fbs","fcs"
"401310861","2021","1","regular","fbs","fcs"
"401281943","2021","1","regular","fbs","fbs"
"401309838","2021","1","regular","fbs","fbs"
"401281942","2021","1","regular","fbs","fbs"
"401282174","2021","1","regular","fbs","fbs"
"401282764","2021","1","regular","fbs","fbs"
"401300996","2021","1","regular","fbs","fbs"
"401282723","2021","1","regular","fbs","fbs"
"401281949","2021","1","regular","fbs","fbs"
"401282612","2021","1","regular","fbs","fbs"
"401281950","2021","1","regular","fbs","fbs"
"401310697","2021","1","regular","fbs","fcs"
"401287887","2021","1","regular","fbs","fcs"
"401287892","2021","1","regular","fbs","fbs"
"401309842","2021","1","regular","fbs","fbs"
"401309600","2021","1","regular","fbs","fcs"
"401286294","2021","1","regular","fbs","fcs"
"401282173","2021","1","regular","fbs","fcs"
"401300998","2021","1","regular","fbs","fcs"
"401309602","2021","1","regular","fbs","fcs"
"401282611","2021","1","regular","fbs","fbs"
"401282819","2021","1","regular","fbs","fbs"
"401287886","2021","1","regular","fbs","fbs"
"401287890","2021","1","regular","fbs","fcs"
"401287893","2021","1","regular","fbs","fbs"
"401300997","2021","1","regular","fbs","fcs"
"401309598","2021","1","regular","fbs","fcs"
"401309543","2021","1","regular","fbs","fcs"
"401281951","2021","1","regular","fbs","fcs"
"401281944","2021","1","regular","fbs","fbs"
"401282179","2021","1","regular","fbs","fbs"
"401282613","2021","1","regular","fbs","fcs"
"401281946","2021","1","regular","fbs","fbs"
"401281945","2021","1","regular","fbs","fbs"
"401282175","2021","1","regular","fbs","fcs"
"401282610","2021","1","regular","fbs","fbs"
"401282054","2021","1","regular","fbs","fcs"
"401287891","2021","1","regular","fbs","fcs"
"401282177","2021","1","regular","fbs","fbs"
"401282053","2021","1","regular","fbs","fbs"
"401309839","2021","1","regular","fbs","fcs"
"401281948","2021","1","regular","fbs","fbs"
"401282178","2021","1","regular","fbs","fcs"
"401309841","2021","1","regular","fbs","fbs"
"401310699","2021","1","regular","fbs","fbs"
"401309837","2021","1","regular","fbs","fbs"
"401309840","2021","1","regular","fbs","fbs"
"401310698","2021","1","regular","fbs","fcs"
"401282614","2021","1","regular","fbs","fbs"
"401282055","2021","1","regular","fbs","fbs"
"401331164","2021","1","postseason","fbs","fbs"
"401331165","2021","1","postseason","fbs","fbs"
"401331166","2021","1","postseason","fbs","fbs"
"401331167","2021","1","postseason","fbs","fbs"
"401331168","2021","1","postseason","fbs","fbs"
"401331169","2021","1","postseason","fbs","fbs"
"401331170","2021","1","postseason","fbs","fbs"
"401331171","2021","1","postseason","fbs","fbs"
"401331172","2021","1","postseason","fbs","fbs"
"401331213","2021","1","postseason","fbs","fbs"
"401331214","2021","1","postseason","fbs","fbs"
"401331215","2021","1","postseason","fbs","fbs"
"401391158","2021","1","postseason","fbs","fbs"
"401331216","2021","1","postseason","fbs","fbs"
"401331218","2021","1","postseason","fbs","fbs"
"401331219","2021","1","postseason","fbs","fbs"
"401331221","2021","1","postseason","fbs","fbs"
"401331222","2021","1","postseason","fbs","fbs"
"401331223","2021","1","postseason","fbs","fbs"
"401331224","2021","1","postseason","fbs","fbs"
"401331226","2021","1","postseason","fbs","fbs"
"401331227","2021","1","postseason","fbs","fbs"
"401331228","2021","1","postseason","fbs","fbs"
"401331229","2021","1","postseason","fbs","fbs"
"401331230","2021","1","postseason","fbs","fbs"
"401331231","2021","1","postseason","fbs","fbs"
"401331232","2021","1","postseason","fbs","fbs"
"401331233","2021","1","postseason","fbs","fbs"
"401331654","2021","1","postseason","fbs","fbs"
"401331235","2021","1","postseason","fbs","fbs"
"401331234","2021","1","postseason","fbs","fbs"
"401331236","2021","1","postseason","fbs","fbs"
"401331238","2021","1","postseason","fbs","fbs"
"401331237","2021","1","postseason","fbs","fbs"
"401331239","2021","1","postseason","fbs","fbs"
"401331240","2021","1","postseason","fbs","fbs"
"401331241","2021","1","postseason","fbs","fbs"
"401331242","2021","1","postseason","fbs","fbs"
"401287896","2021","2","regular","fbs","fbs"
"401282616","2021","2","regular","fbs","fcs"
"401282191","2021","2","regular","fbs","fbs"
"401310701","2021","2","regular","fbs","fcs"
"401282624","2021","2","regular","fbs","fbs"
"401282193","2021","2","regular","fbs","fbs"
"401309545","2021","2","regular","fbs","fcs"
"401282790","2021","2","regular","fbs","fbs"
"401282625","2021","2","regular","fbs","fcs"
"401282618","2021","2","regular","fbs","fcs"
"401282065","2021","2","regular","fbs","fbs"
"401287899","2021","2","regular","fbs","fbs"
"401282804","2021","2","regular","fbs","fcs"
"401282809","2021","2","regular","fbs","fbs"
"401282066","2021","2","regular","fbs","fbs"
"401282783","2021","2","regular","fbs","fcs"
"401282058","2021","2","regular","fbs","fcs"
"401282059","2021","2","regular","fbs","fbs"
"401301000","2021","2","regular","fbs","fcs"
"401309547","2021","2","regular","fbs","fbs"
"401309753","2021","2","regular","fbs","fcs"
"401282186","2021","2","regular","fbs","fbs"
"401282622","2021","2","regular","fbs","fbs"
"401282705","2021","2","regular","fbs","fbs"
"401282820","2021","2","regular","fbs","fbs"
"401309548","2021","2","regular","fbs","fcs"
"401282183","2021","2","regular","fbs","fbs"
"401282060","2021","2","regular","fbs","fbs"
"401282067","2021","2","regular","fbs","fbs"
"401282623","2021","2","regular","fbs","fbs"
"401300999","2021","2","regular","fbs","fbs"
"401287900","2021","2","regular","fbs","fbs"
"401282797","2021","2","regular","fbs","fbs"
"401301004","2021","2","regular","fbs","fbs"
"401301002","2021","2","regular","fbs","fcs"
