Date,Opponent,Result,Game Time,Attendance,Year,Team_Code
9/1/22,7 Penn St.,L 31-35,3:59,"57,307",2022,559
9/10/22,Indiana St.,W 56-0,3:07,"53,676",2022,559
9/17/22,@ Syracuse,L 29-32,4:03,"35,943",2022,559
9/24/22,Fla. Atlantic,W 28-26,3:18,"55,137",2022,559
10/1/22,@ Minnesota,W 20-10,3:20,"48,288",2022,559
10/8/22,@ Maryland,W 31-29,3:31,"36,204",2022,559
10/15/22,Nebraska,W 43-37,3:31,"61,320",2022,559
10/22/22,@ Wisconsin,L 24-35,3:20,"75,018",2022,559
11/5/22,Iowa,L 3-24,3:12,"61,320",2022,559
11/12/22,@ Illinois,W 31-24,4:08,"45,574",2022,559
11/19/22,Northwestern,W 17-9,3:05,"54,016",2022,559
11/26/22,@ Indiana,W 30-16,3:05,"51,148",2022,559
12/3/22,+ 3 Michigan,L 22-43,3:42,"67,107",2022,559
1/2/23,+ 16 LSU,L 7-63,3:37,"42,791",2022,559
9/2/22,@ Old Dominion,L 17-20,4:07,"21,944",2022,742
9/10/22,Boston College,W 27-10,3:06,"65,632",2022,742
9/17/22,Wofford,W 27-7,2:51,"62,043",2022,742
9/22/22,West Virginia,L 10-33,3:21,"65,632",2022,742
10/1/22,@ North Carolina,L 10-41,3:13,"45,029",2022,742
10/8/22,@ 22 Pittsburgh,L 29-45,3:32,"54,677",2022,742
10/15/22,Miami (Fla.),L 14-20,3:15,"65,632",2022,742
10/27/22,@ North Carolina St.,L 21-22,3:27,"56,919",2022,742
11/5/22,Georgia Tech,L 27-28,3:25,"62,844",2022,742
11/12/22,@ Duke,L 7-24,2:48,"20,857",2022,742
11/19/22,@ Liberty,W 23-22,3:08,"23,055",2022,742
9/3/22,@ Kentucky,L 13-37,3:16,"61,139",2022,414
9/10/22,Robert Morris,W 31-14,3:19,"9,828",2022,414
9/17/22,#NAME?,L 17-38,3:36,"30,109",2022,414
9/24/22,@ Northwestern,W 17-14,3:18,"23,773",2022,414
10/1/22,@ Buffalo,L 20-24,3:27,"18,615",2022,414
10/8/22,Kent St.,W 27-24,3:13,"14,366",2022,414
10/15/22,@ Bowling Green,L 13-17,3:11,"7,841",2022,414
10/22/22,Western Mich.,L 10-16,3:47,"21,618",2022,414
10/29/22,@ Akron,W 27-9,3:28,"11,749",2022,414
11/8/22,Ohio,L 21-37,3:31,"15,490",2022,414
11/16/22,@ Northern Ill.,W 29-23,3:16,"5,187",2022,414
11/22/22,Ball St.,W 18-17,3:25,"14,021",2022,414
12/16/22,#NAME?,L 20-24,3:18,"12,172",2022,414
9/3/22,@ 9 Tulane,L 10-42,3:20,"15,101",2022,400
9/10/22,@ Toledo,L 10-55,3:22,"20,147",2022,400
9/17/22,Stony Brook,W 20-3,3:27,"10,011",2022,400
9/24/22,@ Temple,L 0-28,3:10,"14,033",2022,400
10/1/22,@ Eastern Mich.,L 13-20,3:20,"16,478",2022,400
10/8/22,Liberty,L 24-42,3:46,"11,217",2022,400
10/15/22,Buffalo,L 7-34,3:28,"13,378",2022,400
10/29/22,New Mexico St.,L 13-23,3:15,"9,274",2022,400
11/4/22,@ Connecticut,L 10-27,3:06,"23,430",2022,400
11/12/22,@ Arkansas St.,L 33-35,3:42,"14,354",2022,400
11/19/22,@ Texas A&M,L 3-20,3:09,"90,177",2022,400
11/26/22,Army,L 7-44,2:51,"10,119",2022,400
9/1/22,Northern Ariz.,W 40-3,1:42,"44,764",2022,28
9/10/22,@ Oklahoma St.,L 17-34,3:28,"54,949",2022,28
9/17/22,Eastern Mich.,L 21-30,3:05,"43,788",2022,28
9/24/22,10 Utah,L 13-34,3:06,"39,876",2022,28
10/1/22,@ 12 Southern California,L 25-42,3:07,"62,133",2022,28
10/8/22,8 Washington,W 45-38,3:39,"39,244",2022,28
10/22/22,@ Stanford,L 14-15,3:17,"25,061",2022,28
10/29/22,@ Colorado,W 42-34,3:41,"40,334",2022,28
11/5/22,21 UCLA,L 36-50,3:28,"51,265",2022,28
11/12/22,@ Washington St.,L 18-28,3:21,"24,039",2022,28
11/19/22,17 Oregon St.,L 7-31,3:07,"39,551",2022,28
11/25/22,@ Arizona,L 35-38,3:29,"49,865",2022,28
9/3/22,Rutgers,L 21-22,3:27,"35,048",2022,67
9/10/22,@ Virginia Tech,L 10-27,3:06,"65,632",2022,67
9/17/22,Maine,W 38-17,3:18,"34,325",2022,67
9/24/22,@ 11 Florida St.,L 14-44,3:11,"79,560",2022,67
10/1/22,Louisville,W 34-33,3:38,"38,517",2022,67
10/8/22,13 Clemson,L 3-31,3:09,"42,138",2022,67
10/22/22,@ Wake Forest,L 15-43,3:15,"28,530",2022,67
10/29/22,@ Connecticut,L 3-13,3:11,"25,527",2022,67
11/4/22,Duke,L 31-38,3:25,"34,092",2022,67
11/12/22,@ North Carolina St.,W 21-20,3:46,"56,919",2022,67
11/19/22,@ 18 Notre Dame,L 0-44,3:00,"73,503",2022,67
11/26/22,Syracuse,L 23-32,3:30,"30,113",2022,67
9/3/22,@ 4 Ohio St.,L 10-21,3:15,"106,594",2022,513
9/10/22,Marshall,L 21-26,3:14,"77,622",2022,513
9/17/22,California,W 24-17,3:19,"77,622",2022,513
9/24/22,@ North Carolina,W 45-32,3:30,"50,500",2022,513
10/8/22,#NAME?,W 28-20,2:59,"62,742",2022,513
10/15/22,Stanford,L 14-16,3:14,"77,622",2022,513
10/22/22,UNLV,W 44-21,3:22,"73,165",2022,513
10/29/22,@ Syracuse,W 41-24,3:25,"49,861",2022,513
11/5/22,13 Clemson,W 35-14,3:05,"77,622",2022,513
11/12/22,#NAME?,W 35-32,3:24,"62,124",2022,513
11/19/22,Boston College,W 44-0,3:00,"73,503",2022,513
11/26/22,@ 12 Southern California,L 27-38,3:12,"72,613",2022,513
12/30/22,+ 23 South Carolina,W 45-38,4:02,"67,383",2022,513
9/3/22,@ East Caro.,W 21-20,3:47,"51,711",2022,490
9/10/22,Charleston So.,W 55-3,3:31,"54,169",2022,490
9/17/22,Texas Tech,W 27-14,3:42,"56,919",2022,490
9/24/22,Connecticut,W 41-10,2:55,"56,919",2022,490
10/1/22,@ 13 Clemson,L 20-30,3:28,"81,500",2022,490
10/8/22,11 Florida St.,W 19-17,3:47,"56,919",2022,490
10/15/22,@ Syracuse,L 9-24,3:29,"49,705",2022,490
10/27/22,Virginia Tech,W 22-21,3:27,"56,919",2022,490
11/5/22,Wake Forest,W 30-21,3:27,"56,919",2022,490
11/12/22,Boston College,L 20-21,3:46,"56,919",2022,490
11/19/22,@ Louisville,L 10-25,3:35,"38,974",2022,490
11/25/22,@ North Carolina,W 30-27,3:57,"50,500",2022,490
12/30/22,#NAME?,L 12-16,3:47,"37,228",2022,490
8/27/22,@ Hawaii,W 63-10,3:38,"9,346",2022,736
9/3/22,Elon,W 42-31,3:38,"20,120",2022,736
9/10/22,Wake Forest,L 25-45,3:11,"24,431",2022,736
9/17/22,@ Northern Ill.,W 38-28,3:12,"14,110",2022,736
9/24/22,@ 5 Alabama,L 3-55,3:15,"96,246",2022,736
10/8/22,Mississippi,L 28-52,3:22,"31,567",2022,736
10/15/22,@ 1 Georgia,L 0-55,3:18,"92,746",2022,736
10/22/22,@ Missouri,L 14-17,3:38,"60,618",2022,736
11/5/22,23 South Carolina,L 27-38,3:38,"28,553",2022,736
11/12/22,@ Kentucky,W 24-21,3:09,"57,474",2022,736
11/19/22,Florida,W 31-24,3:24,"30,136",2022,736
11/26/22,6 Tennessee,L 0-56,3:09,"40,350",2022,736
9/1/22,VMI,W 44-10,3:15,"26,013",2022,749
9/10/22,@ Vanderbilt,W 45-25,3:11,"24,431",2022,749
9/17/22,Liberty,W 37-36,3:34,"32,891",2022,749
9/24/22,13 Clemson,L 45-51,3:43,"32,903",2022,749
10/1/22,@ 11 Florida St.,W 31-21,3:22,"69,749",2022,749
10/8/22,Army,W 45-10,2:59,"32,524",2022,749
10/22/22,Boston College,W 43-15,3:15,"28,530",2022,749
10/29/22,@ Louisville,L 21-48,3:27,"39,503",2022,749
11/5/22,@ North Carolina St.,L 21-30,3:27,"56,919",2022,749
11/12/22,North Carolina,L 34-36,3:40,"31,346",2022,749
11/19/22,Syracuse,W 45-35,3:24,"26,164",2022,749
11/26/22,@ Duke,L 31-34,3:12,"17,492",2022,749
12/23/22,#NAME?,W 27-17,3:57,"34,370",2022,749
9/1/22,@ 22 Pittsburgh,L 31-38,4:06,"70,622",2022,768
9/10/22,Kansas,L 42-55,3:45,"52,188",2022,768
9/17/22,Towson,W 65-7,3:25,"50,703",2022,768
9/22/22,@ Virginia Tech,W 33-10,3:21,"65,632",2022,768
10/1/22,@ 25 Texas,L 20-38,3:19,"100,740",2022,768
10/13/22,Baylor,W 43-40,3:35,"45,293",2022,768
10/22/22,@ Texas Tech,L 10-48,3:35,"56,530",2022,768
10/29/22,2 TCU,L 31-41,3:38,"50,426",2022,768
11/5/22,@ Iowa St.,L 14-31,3:15,"56,109",2022,768
11/12/22,Oklahoma,W 23-20,3:35,"50,281",2022,768
11/19/22,14 Kansas St.,L 31-48,3:29,"37,055",2022,768
11/26/22,@ Oklahoma St.,W 24-19,3:28,"52,353",2022,768
9/3/22,Norfolk St.,W 55-3,3:04,"24,607",2022,388
9/10/22,@ 18 Notre Dame,W 26-21,3:14,"77,622",2022,388
9/17/22,@ Bowling Green,L 31-34,3:52,"21,158",2022,388
9/24/22,@ 19 Troy,L 7-16,3:30,"27,514",2022,388
10/1/22,Gardner-Webb,W 28-7,3:18,"19,845",2022,388
10/12/22,La.-Lafayette,L 13-23,3:48,"19,905",2022,388
10/22/22,@ James Madison,W 26-12,3:58,"26,159",2022,388
10/29/22,Coastal Caro.,L 13-24,3:33,"24,954",2022,388
11/5/22,@ Old Dominion,W 12-0,3:30,"18,327",2022,388
11/12/22,Appalachian St.,W 28-21,3:31,"24,312",2022,388
11/19/22,@ Ga. Southern,W 23-10,3:29,"16,153",2022,388
11/26/22,Georgia St.,W 28-23,3:12,"17,427",2022,388
12/19/22,#NAME?,W 28-14,3:31,"12,023",2022,388
9/3/22,North Carolina St.,L 20-21,3:47,"51,711",2022,196
9/10/22,Old Dominion,W 39-21,3:35,"36,853",2022,196
9/17/22,Campbell,W 49-10,3:11,"43,036",2022,196
9/24/22,Navy,L 20-23,4:08,"39,227",2022,196
10/1/22,@ South Fla.,W 48-28,3:34,"3,708",2022,196
10/8/22,@ 9 Tulane,L 9-24,3:15,"14,193",2022,196
10/15/22,Memphis,W 47-45,3:49,"38,059",2022,196
10/22/22,UCF,W 34-13,3:23,"38,245",2022,196
10/28/22,@ Brigham Young,W 27-24,3:29,"55,525",2022,196
11/11/22,@ Cincinnati,L 25-27,3:34,"38,199",2022,196
11/19/22,Houston,L 3-42,3:15,"42,475",2022,196
11/26/22,@ Temple,W 49-46,3:21,"13,037",2022,196
12/27/22,#NAME?,W 53-29,4:05,0,2022,196
9/3/22,Richmond,W 34-17,2:53,"41,122",2022,746
9/10/22,@ Illinois,L 3-24,3:42,"33,669",2022,746
9/17/22,Old Dominion,W 16-14,3:27,"40,556",2022,746
9/23/22,@ Syracuse,L 20-22,3:36,"34,590",2022,746
10/1/22,@ Duke,L 17-38,3:05,"15,152",2022,746
10/8/22,Louisville,L 17-34,3:12,"38,009",2022,746
10/20/22,@ Georgia Tech,W 16-9,3:43,"29,362",2022,746
10/29/22,Miami (Fla.),L 12-14,3:30,"43,714",2022,746
11/5/22,North Carolina,L 28-31,3:16,"44,156",2022,746
11/12/22,22 Pittsburgh,L 7-37,3:07,"36,529",2022,746
9/3/22,Delaware,L 7-14,3:21,"30,542",2022,726
9/10/22,Memphis,L 13-37,3:11,"30,082",2022,726
9/24/22,@ East Caro.,W 23-20,4:08,"39,227",2022,726
10/1/22,@ Air Force,L 10-13,3:07,"36,947",2022,726
10/8/22,Tulsa,W 53-21,3:29,"30,658",2022,726
10/14/22,@ Southern Methodist,L 34-40,4:01,"24,583",2022,726
10/22/22,Houston,L 20-38,3:22,"32,443",2022,726
10/29/22,Temple,W 27-20,3:38,"31,141",2022,726
11/5/22,@ Cincinnati,L 10-20,2:55,"38,461",2022,726
11/12/22,+ 18 Notre Dame,L 32-35,3:24,"62,124",2022,726
11/19/22,@ UCF,W 17-14,3:08,"44,813",2022,726
12/10/22,#NAME?,L 17-20,3:33,"69,117",2022,726
9/1/22,Bryant,W 38-37,4:18,0,2022,231
9/10/22,@ Texas St.,L 12-41,3:45,"18,757",2022,231
9/24/22,@ Western Ky.,L 0-73,3:54,"15,127",2022,231
10/1/22,@ New Mexico St.,W 21-7,2:53,"10,423",2022,231
10/8/22,Connecticut,L 12-33,3:06,0,2022,231
10/14/22,UTSA,L 10-30,3:26,"14,122",2022,231
10/22/22,@ Charlotte,W 34-15,3:18,"10,576",2022,231
10/28/22,Louisiana Tech,W 42-34,3:50,"12,478",2022,231
11/5/22,@ North Texas,L 14-52,3:10,"22,308",2022,231
11/12/22,Fla. Atlantic,L 7-52,3:16,0,2022,231
11/19/22,@ UTEP,L 6-40,3:00,"10,758",2022,231
11/26/22,Middle Tenn. St.,L 28-33,3:26,"14,768",2022,231
9/3/22,Brigham Young,L 21-50,3:15,"31,521",2022,651
9/10/22,Howard,W 42-20,3:28,"28,554",2022,651
9/17/22,@ Florida,L 28-31,3:28,"88,496",2022,651
9/24/22,@ Louisville,L 3-41,3:34,"41,217",2022,651
10/1/22,East Caro.,L 28-48,3:34,"3,708",2022,651
10/8/22,@ Cincinnati,L 24-28,3:18,"38,577",2022,651
10/15/22,9 Tulane,L 31-45,2:21,"31,053",2022,651
10/29/22,@ Houston,L 27-42,3:10,"24,228",2022,651
11/5/22,@ Temple,L 28-54,3:10,"13,862",2022,651
11/12/22,Southern Methodist,L 23-41,3:24,"24,907",2022,651
11/18/22,@ Tulsa,L 42-48,3:51,"13,819",2022,651
11/26/22,UCF,L 39-46,3:34,"32,217",2022,651
8/27/22,Austin Peay,W 38-27,3:50,"13,688",2022,772
9/3/22,@ Hawaii,W 49-17,3:31,"9,346",2022,772
9/17/22,@ Indiana,L 30-33,3:55,"48,952",2022,772
9/24/22,Florida Int'l,W 73-0,3:54,"15,127",2022,772
10/1/22,19 Troy,L 27-34,3:55,"20,168",2022,772
10/8/22,@ UTSA,L 28-31,3:33,"22,328",2022,772
10/15/22,@ Middle Tenn. St.,W 35-17,3:35,"14,806",2022,772
10/21/22,UAB,W 20-17,3:23,"16,334",2022,772
10/29/22,North Texas,L 13-40,3:23,"17,194",2022,772
11/5/22,@ Charlotte,W 59-7,3:17,"10,857",2022,772
11/12/22,Rice,W 45-10,3:18,"10,127",2022,772
11/19/22,@ Auburn,L 17-41,3:33,"81,824",2022,772
11/26/22,@ Fla. Atlantic,W 32-31,3:53,"18,376",2022,772
12/21/22,#NAME?,W 44-23,3:45,"13,456",2022,772
9/3/22,Army,W 38-28,3:13,"21,165",2022,149
9/10/22,Gardner-Webb,W 31-27,3:17,"12,261",2022,149
9/17/22,Buffalo,W 38-26,3:51,"13,372",2022,149
9/22/22,@ Georgia St.,W 41-24,3:32,"13,467",2022,149
10/1/22,Ga. Southern,W 34-30,3:39,"19,139",2022,149
10/8/22,@ La.-Monroe,W 28-21,3:26,"18,448",2022,149
10/15/22,Old Dominion,L 21-49,3:24,"16,814",2022,149
10/29/22,@ Marshall,W 24-13,3:33,"24,954",2022,149
11/3/22,Appalachian St.,W 35-28,3:21,"21,224",2022,149
11/12/22,Southern Miss.,W 26-23,3:29,"16,203",2022,149
11/26/22,@ James Madison,L 7-47,3:27,"19,393",2022,149
12/3/22,@ 19 Troy,L 26-45,3:21,"21,554",2022,149
12/27/22,#NAME?,L 29-53,4:05,0,2022,149
9/3/22,@ UTSA,W 37-35,4:08,"37,526",2022,288
9/10/22,@ Texas Tech,L 30-33,4:07,"56,271",2022,288
9/17/22,Kansas,L 30-48,4:29,"30,317",2022,288
9/24/22,Rice,W 34-27,3:28,"26,377",2022,288
9/30/22,9 Tulane,L 24-27,3:15,"24,319",2022,288
10/7/22,@ Memphis,W 33-32,3:41,"28,127",2022,288
10/22/22,@ Navy,W 38-20,3:22,"32,443",2022,288
10/29/22,South Fla.,W 42-27,3:10,"24,228",2022,288
11/5/22,@ Southern Methodist,L 63-77,3:55,"23,841",2022,288
11/12/22,Temple,W 43-36,3:22,"21,731",2022,288
11/19/22,@ East Caro.,W 42-3,3:15,"42,475",2022,288
11/26/22,Tulsa,L 30-37,3:35,"21,785",2022,288
12/23/22,#NAME?,W 23-16,3:36,"23,410",2022,288
9/3/22,@ 12 Southern California,L 14-66,3:15,"60,113",2022,574
9/10/22,McNeese St.,W 52-10,3:15,"18,629",2022,574
9/17/22,La.-Lafayette,W 33-21,3:39,"18,746",2022,574
9/24/22,@ Houston,L 27-34,3:28,"26,377",2022,574
10/1/22,UAB,W 28-24,3:48,"21,926",2022,574
10/15/22,@ Fla. Atlantic,L 14-17,3:19,"21,465",2022,574
10/22/22,@ Louisiana Tech,W 42-41,4:04,"18,300",2022,574
10/29/22,Charlotte,L 23-56,3:32,"18,187",2022,574
11/3/22,UTEP,W 37-30,3:41,"18,326",2022,574
11/12/22,@ Western Ky.,L 10-45,3:18,"10,127",2022,574
11/19/22,UTSA,L 7-41,3:15,"18,249",2022,574
11/26/22,@ North Texas,L 17-21,3:01,"15,688",2022,574
12/17/22,#NAME?,L 24-38,3:58,"20,512",2022,574
9/3/22,@ Mississippi,L 10-28,3:09,"60,533",2022,716
9/10/22,Alabama A&M,W 38-17,3:47,"26,189",2022,716
9/17/22,@ Appalachian St.,L 28-32,3:11,"34,406",2022,716
9/24/22,Marshall,W 16-7,3:30,"27,514",2022,716
10/1/22,@ Western Ky.,W 34-27,3:55,"20,168",2022,716
10/8/22,Southern Miss.,W 27-10,3:02,"26,017",2022,716
10/15/22,Texas St.,W 17-14,3:03,"23,480",2022,716
10/20/22,@ South Ala.,W 10-6,3:10,"25,450",2022,716
11/5/22,@ La.-Lafayette,W 23-17,3:18,"7,888",2022,716
11/12/22,Army,W 10-9,3:28,"31,010",2022,716
11/19/22,La.-Monroe,W 34-16,3:45,"23,864",2022,716
11/26/22,@ Arkansas St.,W 48-19,3:05,"9,376",2022,716
12/3/22,Coastal Caro.,W 45-26,3:21,"21,554",2022,716
12/16/22,#NAME?,W 18-12,3:39,"11,911",2022,716
9/1/22,Cal Poly,W 35-7,3:20,"36,011",2022,96
9/10/22,17 Oregon St.,L 32-35,3:37,"41,031",2022,96
9/17/22,@ 12 Southern California,L 17-45,3:23,"67,226",2022,96
10/1/22,@ Connecticut,L 14-19,3:00,"20,952",2022,96
10/8/22,@ Boise St.,L 20-40,3:14,"37,663",2022,96
10/15/22,San Jose St.,W 17-10,3:48,"41,031",2022,96
10/22/22,@ New Mexico,W 41-9,2:59,"14,667",2022,96
10/29/22,San Diego St.,W 32-28,3:19,"37,107",2022,96
11/5/22,Hawaii,W 55-13,3:14,"39,005",2022,96
11/11/22,@ UNLV,W 37-30,3:24,"23,146",2022,96
11/19/22,@ Nevada,W 41-14,3:24,"12,501",2022,96
11/25/22,Wyoming,W 30-0,3:20,"40,214",2022,96
12/3/22,@ Boise St.,W 28-16,3:16,"24,037",2022,96
12/17/22,#NAME?,W 29-6,4:17,"32,405",2022,96
9/3/22,Sam Houston St.,W 31-0,6:00,"97,946",2022,697
9/10/22,Appalachian St.,L 14-17,4:01,"92,664",2022,697
9/17/22,Miami (Fla.),W 17-9,3:15,"107,245",2022,697
9/24/22,#NAME?,W 23-21,3:21,"63,580",2022,697
10/1/22,@ 20 Mississippi St.,L 24-42,3:29,"51,930",2022,697
10/8/22,@ 5 Alabama,L 20-24,3:27,"100,077",2022,697
10/22/22,@ 23 South Carolina,L 24-30,3:30,"77,837",2022,697
10/29/22,Mississippi,L 28-31,3:36,"101,084",2022,697
11/5/22,Florida,L 24-41,3:29,"97,797",2022,697
11/12/22,@ Auburn,L 10-13,3:26,"87,451",2022,697
11/19/22,Massachusetts,W 20-3,3:09,"90,177",2022,697
11/26/22,16 LSU,W 38-23,3:24,"93,578",2022,697
9/3/22,Bethune-Cookman,W 70-13,3:32,"56,795",2022,415
9/10/22,Southern Miss.,W 30-7,6:18,"46,421",2022,415
9/17/22,@ Texas A&M,L 9-17,3:15,"107,245",2022,415
9/24/22,Middle Tenn. St.,L 31-45,3:41,"46,713",2022,415
10/8/22,North Carolina,L 24-27,3:34,0,2022,415
10/15/22,@ Virginia Tech,W 20-14,3:15,"65,632",2022,415
10/22/22,Duke,L 21-45,3:15,"57,421",2022,415
10/29/22,@ Virginia,W 14-12,3:30,"43,714",2022,415
11/5/22,11 Florida St.,L 3-45,3:16,"66,200",2022,415
11/12/22,@ Georgia Tech,W 35-14,3:13,"33,857",2022,415
11/19/22,@ 13 Clemson,L 10-40,3:20,"81,340",2022,415
11/26/22,22 Pittsburgh,L 16-42,3:22,"46,428",2022,415
9/3/22,+ 15 Oregon,W 49-3,3:10,"76,490",2022,257
9/10/22,Samford,W 33-0,2:51,"92,746",2022,257
9/17/22,@ 23 South Carolina,W 48-7,3:11,"78,212",2022,257
9/24/22,Kent St.,W 39-22,3:13,"92,746",2022,257
10/1/22,@ Missouri,W 26-22,3:19,"58,165",2022,257
10/8/22,Auburn,W 42-10,3:19,"92,746",2022,257
10/15/22,Vanderbilt,W 55-0,3:18,"92,746",2022,257
10/29/22,#NAME?,W 42-20,3:40,"75,868",2022,257
11/5/22,6 Tennessee,W 27-13,3:26,"92,746",2022,257
11/12/22,@ 20 Mississippi St.,W 45-19,3:24,"60,352",2022,257
11/19/22,@ Kentucky,W 16-6,3:02,"61,022",2022,257
11/26/22,Georgia Tech,W 37-14,3:32,"92,746",2022,257
12/3/22,+ 16 LSU,W 50-30,3:45,"74,810",2022,257
12/31/22,+ 4 Ohio St.,W 42-41,3:40,"79,330",2022,257
1/9/23,+ 2 TCU,W 65-7,3:11,"72,628",2022,257
9/3/22,Murray St.,W 63-10,3:30,"58,823",2022,700
9/10/22,Houston,W 33-30,4:07,"56,271",2022,700
9/17/22,@ North Carolina St.,L 14-27,3:42,"56,919",2022,700
9/24/22,25 Texas,W 37-34,3:44,"60,975",2022,700
10/1/22,@ 14 Kansas St.,L 28-37,3:25,"50,782",2022,700
10/8/22,@ Oklahoma St.,L 31-41,3:51,"55,509",2022,700
10/22/22,West Virginia,W 48-10,3:35,"56,530",2022,700
10/29/22,Baylor,L 17-45,3:37,"60,705",2022,700
11/5/22,@ 2 TCU,L 24-34,3:24,"44,760",2022,700
11/12/22,Kansas,W 43-28,4:00,"55,613",2022,700
11/19/22,@ Iowa St.,W 14-10,3:05,"52,676",2022,700
11/26/22,Oklahoma,W 51-48,3:54,"51,126",2022,700
12/28/22,#NAME?,W 42-25,3:59,"53,251",2022,700
8/27/22,@ Illinois,L 6-38,3:31,"37,832",2022,811
9/3/22,Tulsa,W 40-37,4:03,"20,574",2022,811
9/10/22,Northern Colo.,W 33-10,3:21,"22,863",2022,811
9/16/22,Air Force,W 17-14,2:47,"18,277",2022,811
9/24/22,@ Brigham Young,L 24-38,3:33,"60,092",2022,811
10/1/22,San Jose St.,L 16-33,3:44,"17,765",2022,811
10/8/22,@ New Mexico,W 27-14,3:23,"14,226",2022,811
10/22/22,Utah St.,W 28-14,3:06,"21,420",2022,811
10/29/22,@ Hawaii,W 27-20,3:06,"9,346",2022,811
11/12/22,@ Colorado St.,W 14-13,3:09,"30,300",2022,811
11/19/22,Boise St.,L 17-20,3:11,"17,345",2022,811
11/25/22,@ 24 Fresno St.,L 0-30,3:20,"40,214",2022,811
12/30/22,#NAME?,L 27-30,3:36,"27,691",2022,811
9/3/22,Southeastern La.,W 24-7,3:13,"16,812",2022,671
9/10/22,Eastern Mich.,W 49-21,4:30,"18,079",2022,671
9/17/22,@ Rice,L 21-33,3:39,"18,746",2022,671
9/24/22,@ La.-Monroe,L 17-21,3:22,"19,077",2022,671
10/1/22,South Ala.,L 17-20,3:34,"20,671",2022,671
10/12/22,@ Marshall,W 23-13,3:48,"19,905",2022,671
10/22/22,Arkansas St.,W 38-18,3:31,"15,017",2022,671
10/27/22,@ Southern Miss.,L 24-39,3:46,"27,332",2022,671
11/5/22,19 Troy,L 17-23,3:18,"7,888",2022,671
11/10/22,Ga. Southern,W 36-17,3:32,"11,512",2022,671
11/19/22,@ 11 Florida St.,L 17-49,3:15,"58,597",2022,671
11/26/22,@ Texas St.,W 41-13,3:08,"15,035",2022,671
12/23/22,#NAME?,L 16-23,3:36,"23,410",2022,671
9/1/22,@ Oklahoma St.,L 44-58,3:33,"53,808",2022,129
9/10/22,South Ala.,L 24-38,3:34,"17,205",2022,129
9/17/22,Bucknell,W 41-0,3:06,"21,554",2022,129
9/24/22,@ 7 Penn St.,L 14-33,3:24,"106,624",2022,129
10/1/22,@ Toledo,L 17-38,3:31,"22,273",2022,129
10/8/22,Ball St.,L 16-17,3:19,"22,305",2022,129
10/15/22,@ Akron,W 28-21,3:07,"14,814",2022,129
10/22/22,Bowling Green,L 18-34,3:22,"14,676",2022,129
11/2/22,@ Northern Ill.,W 35-22,3:35,"6,055",2022,129
11/9/22,Buffalo,W 31-27,3:30,"9,103",2022,129
11/16/22,Western Mich.,L 10-12,3:07,"10,097",2022,129
11/25/22,@ Eastern Mich.,L 19-38,3:26,"14,213",2022,129
9/2/22,Western Mich.,W 35-13,3:21,"73,928",2022,416
9/10/22,Akron,W 52-0,3:57,"70,079",2022,416
9/17/22,@ 8 Washington,L 28-39,3:37,"68,161",2022,416
9/24/22,Minnesota,L 7-34,3:12,"74,587",2022,416
10/1/22,@ Maryland,L 13-27,3:32,"30,559",2022,416
10/8/22,4 Ohio St.,L 20-49,3:24,"72,809",2022,416
10/15/22,Wisconsin,W 34-28,3:30,"72,526",2022,416
10/29/22,@ 3 Michigan,L 7-29,3:18,"111,083",2022,416
11/5/22,@ Illinois,W 23-15,3:27,"56,092",2022,416
11/12/22,Rutgers,W 27-21,3:46,"63,267",2022,416
11/19/22,Indiana,L 31-39,2:37,"56,136",2022,416
11/26/22,@ 7 Penn St.,L 16-35,3:18,"105,154",2022,416
9/3/22,@ Nevada,L 14-38,3:18,"13,260",2022,670
9/10/22,Florida Int'l,W 41-12,3:45,"18,757",2022,670
9/17/22,@ Baylor,L 7-42,3:11,"45,597",2022,670
9/24/22,Houston Christian,W 34-0,2:55,"16,237",2022,670
10/1/22,@ James Madison,L 13-40,3:11,"25,188",2022,670
10/8/22,Appalachian St.,W 36-24,3:14,"25,613",2022,670
10/15/22,@ 19 Troy,L 14-17,3:03,"23,480",2022,670
10/22/22,Southern Miss.,L 14-20,3:19,"16,318",2022,670
11/5/22,@ La.-Monroe,L 30-31,3:22,"11,376",2022,670
11/12/22,@ South Ala.,L 21-38,3:29,"14,518",2022,670
11/19/22,Arkansas St.,W 16-13,3:16,"13,287",2022,670
11/26/22,La.-Lafayette,L 13-41,3:08,"15,035",2022,670
9/3/22,Albany (N.Y.),W 69-10,3:35,"41,242",2022,51
9/10/22,@ Brigham Young,L 20-26,3:54,"63,470",2022,51
9/17/22,Texas St.,W 42-7,3:11,"45,597",2022,51
9/24/22,@ Iowa St.,W 31-24,3:13,"58,069",2022,51
10/1/22,Oklahoma St.,L 25-36,3:12,"47,979",2022,51
10/13/22,@ West Virginia,L 40-43,3:35,"45,293",2022,51
10/22/22,Kansas,W 35-23,3:12,"45,882",2022,51
10/29/22,@ Texas Tech,W 45-17,3:37,"60,705",2022,51
11/5/22,@ Oklahoma,W 38-35,3:16,"83,546",2022,51
11/12/22,14 Kansas St.,L 3-31,2:59,"47,686",2022,51
11/19/22,2 TCU,L 28-29,3:03,"44,393",2022,51
11/25/22,@ 25 Texas,L 27-38,3:35,"94,076",2022,51
12/22/22,#NAME?,L 15-30,3:26,0,2022,51
