Game Code,Attendance,Duration
0574045820231118,9385,196
0718022920231118,15871,186
0704041920231118,9122,206
0749051320231118,77622,180
0664043020231118,53855,198
0235043420231118,62621,222
0400035520231118,16860,194
0388064620231118,14105,181
0002069720231118,94794,193
0193074620231118,36400,198
0590016420231118,19053,190
0703031120231118,61500,189
0498043320231118,60752,173
0587053920231118,105114,197
0128070020231118,53851,202
0690000920231118,17486,202
0366031520231118,20252,183
0693000820231118,100077,186
0671071620231118,26621,203
0301031220231118,69250,214
0428051820231118,104019,175
0051069820231118,42621,185
0490074220231118,65632,192
0418039220231118,49546,219
0334064820231118,77788,190
0732002920231118,50800,199
0688025520231118,33332,203
0670003020231118,16721,219
0457014720231118,81305,230
0367041520231118,44996,218
0327032820231118,47233,191
0140076820231118,43588,203
0663040420231118,30313,227
0149072520231118,26867,190
0624077220231118,11041,213
0522007720231118,63714,203
0529002820231118,47741,201
0559050920231118,23291,204
0463079620231118,72237,199
0416030620231118,40666,238
0521028820231118,33906,213
0523025320231118,20032,192
0254036520231118,100212,206
0472003720231118,88043,179
0107067420231118,52971,204
0231003120231118,61442,194
0487023420231118,79560,216
0257069420231118,101915,180
0756052820231118,38415,198
0110065720231118,72244,206
0433043020231123,60412,196
0700070320231124,102452,229
0528052920231124,59987,203
0312046320231124,86183,201
0415006720231124,30569,203
0698052220231124,83669,224
0334036720231125,59225,200
0355070420231125,10240,209
0306055920231125,59993,213
0509030120231125,42310,207
0742074620231125,42976,204
0796042820231125,48119,188
0457049020231125,56919,202
0518041820231125,110615,207
0288012820231125,43610,186
0107011020231125,42439,185
0029002820231125,53414,205
0646067020231125,15617,225
0754075620231125,71312,211
0254052320231125,15717,234
0229057420231125,19393,185
0311032720231125,51482,199
0458065120231125,29279,200
0719019620231125,29567,211
0768005120231125,36200,189
0008003720231125,88043,204
0513067420231125,30901,193
0164040020231125,12291,210
0716066420231125,19766,194
0077052120231125,53855,235
0147064820231125,80172,194
0009049720231125,14628,214
0257025520231125,51447,198
0328014020231125,38193,195
0234023520231125,90341,207
0749068820231125,35018,182
0498067120231125,13892,193
0419062420231125,5349,195
0726066320231125,21490,222
0157073220231125,51595,170
0545019320231125,17639,204
0392058720231125,47012,228
0736069420231125,101915,230
0317014920231125,16196,200
0253002720231125,31248,197
0030038820231125,18673,219
0772023120231125,12724,182
0315047220231125,15702,190
0697036520231125,101178,201
0725072620231209,65878,210
0519062620230826,23867,213
0600077420230831,19432,193
0290020420230901,18056,205
0294062620230902,22345,222
0081046520230902,20347,217
0361051920230902,18453,177
0579072120230902,30145,171
0528063020230903,20337,194
0294073120230909,20034,183
0295046620230909,19852,174
0699070920230909,22743,188
0201007120230909,12312,187
0550081120230909,22121,172
0236008620230909,15854,204
0090063020230909,14224,222
0014027720230909,9485,205
0692047320230909,17279,195
0446000520230909,8213,216
0659050320230909,13115,191
0469012920230909,17302,221
0207009620230909,41031,234
0305004720230916,15054,186
0127033120230916,10731,190
0494006620230916,35610,196
0630070920230916,20039,199
0066062620230922,23374,192
0331009620230923,38728,175
0519007120230923,18248,195
0178041420230923,15812,200
0774070920230923,19068,227
4001015620230930,27932,265
0626072120230930,24869,172
0473081120230930,25478,190
0086000520230930,5490,190
0503070920230930,23417,200
0047077420230930,21880,214
0414033120230930,13598,173
0204012920230930,28323,196
0277046520230930,25328,180
0466009620230930,39246,192
0331051920231007,22945,184
0047020420231007,18696,194
0503000520231007,8216,195
0071041420231007,19047,176
0129008620231007,12093,213
0630006620231007,37491,217
0096081120231007,20788,195
0156073120231007,22864,210
0811072120231014,28311,186
0519050320231014,11143,191
0071008620231014,15196,208
0005012920231014,17886,205
0066015620231014,34901,234
0465046620231014,24578,180
0630047320231014,13027,186
0626027720231014,10039,204
0414077420231014,20039,194
0709004720231014,7680,180
0331020420231014,18443,206
0466062620231021,27122,178
0129004720231021,15171,192
0709041420231021,17321,203
0204050320231021,9458,203
0731063020231021,15028,191
0005007120231021,10068,193
0156046520231021,22585,183
0277047320231021,13723,179
0774051920231021,16048,216
0086033120231021,11735,200
0254025320231026,23389,205
0414051920231028,19854,202
0465009620231028,41031,196
0811006620231028,35189,182
0774020420231028,16297,211
0473046620231028,13083,213
0523031720231028,26239,228
0664002720231028,32601,221
0716067020231028,22369,197
0030049820231028,14025,216
0721015620231028,22570,192
0671064620231028,16709,196
0630027720231028,11486,182
0388014920231028,21324,205
0086070920231031,14951,207
0503012920231031,9625,223
0331000520231101,8113,212
0047007120231101,6092,190
0465047320231104,12353,165
0731062620231104,23096,208
0066009620231104,41031,215
0277046620231104,15540,202
0129077420231107,17842,228
0519008620231107,11444,194
0047050320231107,6282,195
0005041420231108,7233,193
0071033120231108,6065,203
0204070920231108,17842,193
0721027720231111,12742,166
0626015620231111,22033,208
0466073120231111,17760,204
0473006620231111,34076,192
0096063020231111,18886,204
0709007120231114,20590,226
0005020420231114,13664,203
0774050320231114,6417,176
0129051920231115,14736,205
0086041420231115,7561,200
0466015620231118,20121,183
0465072120231118,23574,205
0277081120231118,18233,172
0626063020231118,16225,172
0473009620231118,38569,230
0066073120231118,17821,206
0331004720231118,8554,186
0071077420231121,8901,184
0204008620231121,11243,213
0709012920231124,8612,203
0519000520231124,6152,201
0811046620231125,12044,181
0503033120231125,5427,212
0414004720231125,0,179
0096062620231125,22001,183
0630046520231125,25554,178
0156027720231125,11013,199
0355023120230923,17437,174
0235073220230831,53645,186
0231047220231004,11540,199
0029065720231007,62916,225
0410040020231104,14672,207
0490016420230831,36526,187
0129041620230901,73216,226
0539041620231124,51927,186
2678071920230831,17529,190
0650043420230831,50434,207
0669032820230901,41091,188
0509058720230903,53026,206
0301032820230908,45089,200
0731072120230915,18400,185
0746039220230915,37041,205
0721063020230922,16124,185
0796055920230922,55529,203
0096073120231013,17220,222
0156081120231103,27905,201
0811046520231110,25568,186
0434003120231124,59847,191
0731047320231124,12094,270
0721006620231124,36390,178
0305030620230908,42775,194
0463030120231006,46703,229
0198031520230902,21276,179
0315062420230928,14566,217
1157062420231104,7143,190
0706071820231124,25103,207
0404069020231124,10830,195
0472035520231201,20077,212
0257000820231202,78320,193
0414070920231202,20200,218
0367023420231202,62314,208
0529075620231201,61195,212
0663071820231202,25206,216
0027071620231202,20183,204
0521070320231202,84523,204
0418031220231202,67842,197
0066046520231202,31473,194
0149063020231223,7089,210
0253051920231216,8059,206
0472009620231216,30822,196
0110006620231216,32780,183
0107070020231216,33071,212
0414002720231216,11121,202
0315067120231216,14485,228
0772052320231218,5632,225
0706038820231219,11215,217
0651068820231221,20711,226
0255012820231222,30281,217
0254073120231223,12168,203
0030050320231223,11310,210
0317072120231223,30828,217
0716019320231223,20023,185
0646020420231223,20926,217
0732050920231223,20897,182
0071042820231226,28521,201
0328046520231226,26478,217
0670057420231226,26542,240
0697052120231227,55212,202
0742071820231227,35849,199
0367065720231227,35317,188
0457076820231227,42925,193
0587041520231228,35314,208
0029052220231228,55853,208
0663006720231228,16238,208
0490032720231228,31111,198
0434051820231229,70114,197
0528051320231229,48223,187
0404031120231229,48789,194
0147033420231229,40132,217
0709081120231230,30428,194
0037039220231230,50088,202
0433053920231230,71230,234
0257023420231230,63324,197
0703075620240101,68791,231
0008041820240101,96371,212
0312069420240101,43861,190
0355052920240101,47769,187
0796036520240101,31424,212
0756041820240108,72808,205
